

A1, bzip,eon,equake,galgel,gcc,mcf,mesa,swim,wupwise
sim_num_insn, 100000001,100000003,100000002,100000000,100000002,100000000,100000003,100000002,100000002
sim_num_refs, 33393490,47295231,35403747,8995424,46203359,35761059,35030678,24291284,12244896
sim_num_loads, 25471964,29832507,26923352,5266340,35220322,26936318,27417738,21852001,6122448
sim_num_stores, 7921526.0000,17462724.0000,8480395.0000,3729084.0000,10983037.0000,8824741.0000,7612940.0000,2439283.0000,6122448.0000
sim_IPC, 2.7164,1.4039,1.7995,1.4804,1.1617,2.0209,1.9007,1.7632,2.1778
sim_CPI, 0.3681,0.7123,0.5557,0.6755,0.8608,0.4948,0.5261,0.5671,0.4592
il1.hits, 101225766,117905334,107583396,102386266,119686016,104599880,108706065,100120037,100000008
il1.misses, 54,2551816,2503371,263,5817386,1475283,1774648,62,15
il1.miss_rate, 0.0000,0.0212,0.0227,0.0000,0.0464,0.0139,0.0161,0.0000,0.0000
dl1.hits, 33351579,48171533,36159157,6112454,47556501,35794295,35786683,24031561,11989788
dl1.misses, 27164,200085,24057,103122,988134,171972,13194,257335,255108
dl1.miss_rate, 0.0008,0.0041,0.0007,0.0166,0.0204,0.0048,0.0004,0.0106,0.0208
ul2.hits, 26176,2803015,2531306,160133,7205327,1712985,1784771,376024,382154
ul2.misses, 13609,1326,7139,18194,11322,98833,6776,134775,127565
ul2.miss_rate, 0.3421,0.0005,0.0028,0.1020,0.0016,0.0545,0.0038,0.2639,0.2503

D3, bzip,eon,equake,galgel,gcc,mcf,mesa,swim,wupwise
sim_num_insn, 100000001,100000003,100000002,100000000,100000002,100000000,100000003,100000002,100000002
sim_num_refs, 33393490,47295231,35403747,8995424,46203359,35761059,35030678,24291284,12244896
sim_num_loads, 25471964,29832507,26923352,5266340,35220322,26936318,27417738,21852001,6122448
sim_num_stores, 7921526.0000,17462724.0000,8480395.0000,3729084.0000,10983037.0000,8824741.0000,7612940.0000,2439283.0000,6122448.0000
sim_IPC, 2.7164,1.4039,1.7995,1.4806,1.1623,2.0209,1.9007,1.7633,2.1778
sim_CPI, 0.3681,0.7123,0.5557,0.6754,0.8603,0.4948,0.5261,0.5671,0.4592
il1.hits, 101225766,117905334,107583396,102386267,119684954,104599880,108706065,100120037,100000008
il1.misses, 54,2551816,2503371,263,5817294,1475283,1774648,62,15
il1.miss_rate, 0.0000,0.0212,0.0227,0.0000,0.0464,0.0139,0.0161,0.0000,0.0000
dl1.hits, 33351579,48171533,36159157,6112454,47556397,35794295,35786683,24031561,11989788
dl1.misses, 27164,200085,24057,103122,988136,171972,13194,257335,255108
dl1.miss_rate, 0.0008,0.0041,0.0007,0.0166,0.0204,0.0048,0.0004,0.0106,0.0208
ul2.hits, 26176,2803015,2531306,160992,7207847,1713092,1784773,376537,382154
ul2.misses, 13609,1326,7139,17335,8712,98726,6774,134262,127565
ul2.miss_rate, 0.3421,0.0005,0.0028,0.0972,0.0012,0.0545,0.0038,0.2628,0.2503

def, bzip,crafty,eon,equake,galgel,gcc,mcf,mesa,swim,wupwise
sim_num_insn, 100000001,100000000,100000003,100000002,100000000,100000002,100000000,100000003,100000002,100000001
sim_num_refs, 33393490,38239105,47295231,35403747,8995424,46203359,35761059,35030678,24291287,12244897
sim_num_loads, 25471964,32107653,29832507,26923352,5266340,35220322,26936318,27417738,21852006,6122449
